brickname,ra,dec,ra1,ra2,dec1,dec2,psfsize_g,psfsize_r,psfsize_z,psfdepth_g,psfdepth_r,psfdepth_z,ebv,area_deg2,lrg_count,lrg_density
2373p005,237.375,0.5,237.25,237.5,0.375,0.625,1.4677767753601074,1.4818432331085205,1.361592411994934,24.731962203979492,24.37151336669922,23.114360809326172,0.07758855819702148,0.062497570613748284,2,32.00124389411127
2376p005,237.625,0.5,237.5,237.75,0.375,0.625,1.4319748878479004,1.4440147876739502,1.2824691534042358,25.016450881958008,24.5804443359375,23.443744659423828,0.07253087311983109,0.06249757061376101,7,112.00435362936663
2378p007,237.875,0.75,237.75,238.0,0.625,0.875,1.4551626443862915,1.4367763996124268,1.2884339094161987,24.916494369506836,24.490047454833984,23.484214782714844,0.08515661954879761,0.062494595897972786,8,128.0110685580016
2381p010,238.125,1.0,238.0,238.25,0.875,1.125,1.5048153400421143,1.382682204246521,1.2339837551116943,24.59756851196289,24.312744140625,23.35566520690918,0.09488165378570557,0.0624904313751754,9,144.02204948732825
2383p012,238.375,1.25,238.25,238.5,1.125,1.375,1.579443335533142,1.4056967496871948,1.2295610904693604,24.53044891357422,24.26364517211914,23.37567901611328,0.09950340539216995,0.06248507712465539,4,64.0152846738134
2386p015,238.625,1.5,238.5,238.75,1.375,1.625,1.5903496742248535,1.413705587387085,1.2272272109985352,24.592548370361328,24.283388137817383,23.379520416259766,0.09339864552021027,0.06247853324831182,4,64.02198950642108
2388p017,238.875,1.75,238.75,239.0,1.625,1.875,1.4804093837738037,1.3743276596069336,1.2797417640686035,24.71185302734375,24.372310638427734,23.473737716674805,0.08714272826910019,0.06247079987076864,7,112.05235109012015
2391p020,239.125,2.0,239.0,239.25,1.875,2.125,1.455993413925171,1.3346610069274902,1.374435544013977,24.741851806640625,24.413528442382812,23.41657257080078,0.08830875903367996,0.06246187713925868,2,32.01953081782993
2393p022,239.375,2.25,239.25,239.5,2.125,2.375,1.450587272644043,1.3292438983917236,1.3700965642929077,24.731264114379883,24.405366897583008,23.397052764892578,0.08167584240436554,0.06245176522361897,12,192.14829167809745
2396p025,239.625,2.5,239.5,239.75,2.375,2.625,1.4637014865875244,1.3357473611831665,1.3783936500549316,24.657115936279297,24.381818771362305,23.38827133178711,0.09726069867610931,0.06244046431640474,8,128.12204533684402
2398p025,239.875,2.5,239.75,240.0,2.375,2.625,1.4803657531738281,1.3367735147476196,1.3678486347198486,24.646825790405273,24.383573532104492,23.385196685791016,0.09280865639448166,0.06244046431640474,6,96.09153400263303
2401p025,240.125,2.5,240.0,240.25,2.375,2.625,1.5247036218643188,1.3643300533294678,1.3702096939086914,24.626949310302734,24.368200302124023,23.373193740844727,0.08854729682207108,0.06244046431641745,6,96.09153400261347
2403p022,240.375,2.25,240.25,240.5,2.125,2.375,1.5676943063735962,1.4194763898849487,1.2123162746429443,24.7922420501709,24.348190307617188,23.353626251220703,0.09248308837413788,0.06245176522361897,9,144.11121875857307
2406p022,240.625,2.25,240.5,240.75,2.125,2.375,1.4951367378234863,1.346994400024414,1.214905858039856,24.907821655273438,24.39560317993164,23.286266326904297,0.08724722266197205,0.06245176522361897,3,48.03707291952436
2406p020,240.625,2.0,240.5,240.75,1.875,2.125,1.444556474685669,1.275580883026123,1.1560192108154297,24.913625717163086,24.409378051757812,23.278793334960938,0.08933766931295395,0.06246187713924597,7,112.06835786242756
2403p020,240.375,2.0,240.25,240.5,1.875,2.125,1.5449631214141846,1.415911078453064,1.2318098545074463,24.82965660095215,24.351856231689453,23.349201202392578,0.09106070548295975,0.06246187713924597,11,176.10741949810046
2401p017,240.125,1.75,240.0,240.25,1.625,1.875,1.5741831064224243,1.4346402883529663,1.2442035675048828,24.818737030029297,24.34241485595703,23.38127899169922,0.0913795530796051,0.06247079987078135,5,80.03739363578381
2401p015,240.125,1.5,240.0,240.25,1.375,1.625,1.4946359395980835,1.3924504518508911,1.242592215538025,24.96953010559082,24.41094207763672,23.420515060424805,0.09297578036785126,0.06247853324832453,2,32.01099475320403
2401p012,240.125,1.25,240.0,240.25,1.125,1.375,1.382982850074768,1.3213181495666504,1.29672372341156,24.975242614746094,24.41442108154297,23.332273483276367,0.09673962742090225,0.06248507712465539,3,48.01146350536004
2398p010,239.875,1.0,239.75,240.0,0.875,1.125,1.3567979335784912,1.3665682077407837,1.274068832397461,24.802928924560547,24.142961502075195,23.234859466552734,0.09459902346134186,0.0624904313751754,7,112.0171496012553
2396p012,239.625,1.25,239.5,239.75,1.125,1.375,1.3872184753417969,1.3833016157150269,1.283724308013916,24.803163528442383,24.158592224121094,23.231229782104492,0.0862143412232399,0.062485077124642664,9,144.03439051610945
2396p015,239.625,1.5,239.5,239.75,1.375,1.625,1.4464722871780396,1.4059441089630127,1.2881801128387451,24.79155731201172,24.165422439575195,23.249916076660156,0.08529974520206451,0.06247853324831182,3,48.01649212981581
2396p017,239.625,1.75,239.5,239.75,1.625,1.875,1.4625426530838013,1.3714226484298706,1.3159433603286743,24.742271423339844,24.409561157226562,23.395336151123047,0.08594071865081787,0.06247079987076864,3,48.02243618148007
2393p015,239.375,1.5,239.25,239.5,1.375,1.625,1.5097287893295288,1.478541612625122,1.3136565685272217,24.70208740234375,24.171342849731445,23.258853912353516,0.08464957773685455,0.06247853324831182,8,128.04397901284216
2393p012,239.375,1.25,239.25,239.5,1.125,1.375,1.4944194555282593,1.4814820289611816,1.3049689531326294,24.776039123535156,24.20954132080078,23.375492095947266,0.0912671834230423,0.062485077124642664,13,208.0496751899359
2391p010,239.125,1.0,239.0,239.25,0.875,1.125,1.5038137435913086,1.478952407836914,1.2951842546463013,24.82788848876953,24.31304931640625,23.45960235595703,0.09513559937477112,0.06249043137518812,13,208.03184925943177
2388p010,238.875,1.0,238.75,239.0,0.875,1.125,1.4840021133422852,1.4921804666519165,1.1516368389129639,24.827573776245117,24.357677459716797,23.487972259521484,0.09454195946455002,0.0624904313751754,14,224.0342992025106
2393p010,239.375,1.0,239.25,239.5,0.875,1.125,1.4099786281585693,1.4229382276535034,1.299268126487732,24.7847843170166,24.15713119506836,23.232196807861328,0.09607035666704178,0.0624904313751754,10,160.0244994303647
2396p010,239.625,1.0,239.5,239.75,0.875,1.125,1.3757914304733276,1.3707205057144165,1.2786030769348145,24.791860580444336,24.139896392822266,23.234310150146484,0.09622745215892792,0.0624904313751754,10,160.0244994303647
2396p007,239.625,0.75,239.5,239.75,0.625,0.875,1.3751219511032104,1.370691180229187,1.2734806537628174,24.76665496826172,24.11998748779297,23.231298446655273,0.09656404703855515,0.062494595897972786,5,80.006917848751
2398p012,239.875,1.25,239.75,240.0,1.125,1.375,1.3685933351516724,1.3789479732513428,1.2822504043579102,24.820281982421875,24.168489456176758,23.232479095458984,0.08646690100431442,0.062485077124642664,5,80.01910584228304
2398p020,239.875,2.0,239.75,240.0,1.875,2.125,1.488786220550537,1.3409254550933838,1.285047173500061,24.67745590209961,24.362136840820312,23.258594512939453,0.08626359701156616,0.06246187713924597,4,64.0390616356729
2398p017,239.875,1.75,239.75,240.0,1.625,1.875,1.5728930234909058,1.4241787195205688,1.2494333982467651,24.830764770507812,24.444839477539062,23.335243225097656,0.08429225534200668,0.06247079987076864,3,48.02243618148007
2398p015,239.875,1.5,239.75,240.0,1.375,1.625,1.4089992046356201,1.3543086051940918,1.3086669445037842,24.874746322631836,24.394935607910156,23.340198516845703,0.0848168134689331,0.06247853324831182,5,80.02748688302636
2401p020,240.125,2.0,240.0,240.25,1.875,2.125,1.5767451524734497,1.4169031381607056,1.2288697957992554,24.710811614990234,24.344829559326172,23.364059448242188,0.08856958895921707,0.06246187713925868,7,112.06835786240475
2401p022,240.125,2.25,240.0,240.25,2.125,2.375,1.5833805799484253,1.3789207935333252,1.257784366607666,24.670259475708008,24.362262725830078,23.220745086669922,0.08780132234096527,0.06245176522363168,19,304.2347951569257
2398p022,239.875,2.25,239.75,240.0,2.125,2.375,1.4514251947402954,1.2915749549865723,1.3571648597717285,24.715316772460938,24.413246154785156,23.38819694519043,0.08995179831981659,0.06245176522361897,11,176.13593403825598
2396p022,239.625,2.25,239.5,239.75,2.125,2.375,1.4559547901153564,1.3257769346237183,1.3708590269088745,24.72599220275879,24.40921401977539,23.392240524291992,0.0938185378909111,0.06245176522361897,12,192.14829167809745
2396p020,239.625,2.0,239.5,239.75,1.875,2.125,1.4644827842712402,1.3281341791152954,1.3548319339752197,24.720251083374023,24.409996032714844,23.402790069580078,0.0889684185385704,0.06246187713924597,7,112.06835786242756
2393p025,239.375,2.5,239.25,239.5,2.375,2.625,1.4780995845794678,1.3481838703155518,1.3872638940811157,24.664508819580078,24.376066207885742,23.39073944091797,0.09198470413684845,0.06244046431640474,5,80.07627833552752
2391p025,239.125,2.5,239.0,239.25,2.375,2.625,1.4919261932373047,1.358459711074829,1.3895596265792847,24.68106460571289,24.374347686767578,23.395326614379883,0.09616456180810928,0.06244046431641745,9,144.1373010039202
2393p020,239.375,2.0,239.25,239.5,1.875,2.125,1.4632741212844849,1.3334290981292725,1.3595815896987915,24.73149871826172,24.410640716552734,23.41716957092285,0.08789252489805222,0.06246187713924597,7,112.06835786242756
2393p017,239.375,1.75,239.25,239.5,1.625,1.875,1.4583312273025513,1.4231624603271484,1.3697315454483032,24.802486419677734,24.413850784301758,23.425472259521484,0.09404690563678741,0.06247079987076864,6,96.04487236296013
2391p022,239.125,2.25,239.0,239.25,2.125,2.375,1.454020619392395,1.3336012363433838,1.371902585029602,24.7254581451416,24.397693634033203,23.395496368408203,0.08250944316387177,0.06245176522363168,11,176.13593403822014
2388p022,238.875,2.25,238.75,239.0,2.125,2.375,1.4725357294082642,1.3470892906188965,1.381665587425232,24.715787887573242,24.38946533203125,23.391307830810547,0.0915692001581192,0.06245176522361897,12,192.14829167809745
2386p022,238.625,2.25,238.5,238.75,2.125,2.375,1.5319548845291138,1.3866513967514038,1.3095237016677856,24.681255340576172,24.359909057617188,23.340057373046875,0.095647893846035,0.06245176522361897,11,176.13593403825598
2391p017,239.125,1.75,239.0,239.25,1.625,1.875,1.5673755407333374,1.4673548936843872,1.2768943309783936,24.708377838134766,24.334936141967773,23.422834396362305,0.08821969479322433,0.06247079987078135,3,48.02243618147029
2388p020,238.875,2.0,238.75,239.0,1.875,2.125,1.4779185056686401,1.3583109378814697,1.3013982772827148,24.743545532226562,24.412174224853516,23.472383499145508,0.08876225352287292,0.06246187713924597,4,64.0390616356729
2386p020,238.625,2.0,238.5,238.75,1.875,2.125,1.4679324626922607,1.353971242904663,1.2935503721237183,24.73028564453125,24.404434204101562,23.47262954711914,0.09310244768857956,0.06246187713924597,9,144.087888680264
2388p015,238.875,1.5,238.75,239.0,1.375,1.625,1.5038881301879883,1.4594637155532837,1.1772923469543457,24.639488220214844,24.216609954833984,23.38718605041504,0.09407834708690643,0.06247853324831182,8,128.04397901284216
2388p012,238.875,1.25,238.75,239.0,1.125,1.375,1.4956281185150146,1.4399882555007935,1.1787508726119995,24.742511749267578,24.285682678222656,23.401174545288086,0.09176793694496155,0.062485077124642664,17,272.06495986376234
2386p017,238.625,1.75,238.5,238.75,1.625,1.875,1.4709140062332153,1.3690427541732788,1.300790786743164,24.713003158569336,24.34918975830078,23.40285873413086,0.0890253558754921,0.06247079987076864,8,128.05982981728016
2386p012,238.625,1.25,238.5,238.75,1.125,1.375,1.4921187162399292,1.3720815181732178,1.2230292558670044,24.638404846191406,24.283031463623047,23.39034652709961,0.0992879718542099,0.062485077124642664,6,96.02292701073965
2383p007,238.375,0.75,238.25,238.5,0.625,0.875,1.4610085487365723,1.4448293447494507,1.2718528509140015,25.045183181762695,24.570560455322266,23.75849723815918,0.09890761971473694,0.06249459589798551,6,96.00830141848165
2378p012,237.875,1.25,237.75,238.0,1.125,1.375,1.5808871984481812,1.402053713798523,1.2443687915802002,24.566883087158203,24.288280487060547,23.360071182250977,0.09507700800895691,0.062485077124642664,5,80.01910584228304
2376p012,237.625,1.25,237.5,237.75,1.125,1.375,1.6052658557891846,1.430322289466858,1.2582812309265137,24.568660736083984,24.288232803344727,23.350616455078125,0.0926160216331482,0.06248507712465539,7,112.02674817917344
2373p010,237.375,1.0,237.25,237.5,0.875,1.125,1.6228177547454834,1.4468762874603271,1.2220475673675537,24.56680679321289,24.2752742767334,23.03217887878418,0.09348501265048981,0.0624904313751754,7,112.0171496012553
2381p007,238.125,0.75,238.0,238.25,0.625,0.875,1.4808658361434937,1.3689428567886353,1.1394386291503906,25.008644104003906,24.4926815032959,23.683202743530273,0.08765092492103577,0.062494595897972786,5,80.006917848751
2378p010,237.875,1.0,237.75,238.0,0.875,1.125,1.5638867616653442,1.3866246938705444,1.2436996698379517,24.598968505859375,24.312164306640625,23.347768783569336,0.08822640031576157,0.0624904313751754,10,160.0244994303647
2376p010,237.625,1.0,237.5,237.75,0.875,1.125,1.5894355773925781,1.3979400396347046,1.2663300037384033,24.587230682373047,24.30414390563965,23.338077545166016,0.08788204193115234,0.06249043137518812,7,112.01714960123248
2373p007,237.375,0.75,237.25,237.5,0.625,0.875,1.5211395025253296,1.4933871030807495,1.3177961111068726,24.831525802612305,24.438154220581055,23.26491355895996,0.08724844455718994,0.062494595897972786,6,96.0083014185012
