thetaE,psf_fwhm,depth,n,k,completeness,ci68_lo,ci68_hi,sufficient
0.5,0.9,22.5,0,0,,,,False
0.5,0.9,23.0,0,0,,,,False
0.5,0.9,23.5,0,0,,,,False
0.5,0.9,24.0,200,151,0.755,0.7235521857898317,0.7839238585680877,True
0.5,0.9,24.5,200,36,0.18,0.15460412965285295,0.2085635105689902,True
0.5,1.05,22.5,0,0,,,,False
0.5,1.05,23.0,200,107,0.535,0.4998403517361137,0.5698132589457661,True
0.5,1.05,23.5,0,0,,,,False
0.5,1.05,24.0,200,60,0.3,0.2688353619518023,0.33314411570835306,True
0.5,1.05,24.5,200,43,0.215,0.18757055704090206,0.24525044385940756,True
0.5,1.2,22.5,0,0,,,,False
0.5,1.2,23.0,0,0,,,,False
0.5,1.2,23.5,200,62,0.31,0.27848983653885667,0.3433906550116882,True
0.5,1.2,24.0,200,100,0.5,0.46492780020054486,0.5350721997994552,True
0.5,1.2,24.5,200,82,0.41,0.37594409032162096,0.44494663270303375,True
0.5,1.35,22.5,0,0,,,,False
0.5,1.35,23.0,0,0,,,,False
0.5,1.35,23.5,200,114,0.57,0.5349256643183776,0.6043815539121822,True
0.5,1.35,24.0,200,89,0.445,0.4104120870695329,0.4801322401984794,True
0.5,1.35,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
0.5,1.5,22.5,0,0,,,,False
0.5,1.5,23.0,200,100,0.5,0.46492780020054486,0.5350721997994552,True
0.5,1.5,23.5,200,84,0.42,0.3857739997217082,0.45501775236434866,True
0.5,1.5,24.0,200,85,0.425,0.39069441455210463,0.4600478523035554,True
0.5,1.5,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
0.5,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
0.5,1.65,23.0,0,0,,,,False
0.5,1.65,23.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
0.5,1.65,24.0,200,89,0.445,0.4104120870695329,0.4801322401984794,True
0.5,1.65,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
0.5,1.8,22.5,0,0,,,,False
0.5,1.8,23.0,0,0,,,,False
0.5,1.8,23.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
0.5,1.8,24.0,200,91,0.455,0.42029233658645454,0.4901530215416837,True
0.5,1.8,24.5,200,80,0.4,0.36612887097542435,0.43486082370393114,True
0.75,0.9,22.5,0,0,,,,False
0.75,0.9,23.0,0,0,,,,False
0.75,0.9,23.5,0,0,,,,False
0.75,0.9,24.0,200,170,0.85,0.8231809635096012,0.87335415509375,True
0.75,0.9,24.5,200,56,0.28,0.24958140528016914,0.3125960524848521,True
0.75,1.05,22.5,0,0,,,,False
0.75,1.05,23.0,200,93,0.465,0.4301867410542339,0.5001596482638864,True
0.75,1.05,23.5,0,0,,,,False
0.75,1.05,24.0,200,83,0.415,0.3808572188174612,0.4499840186544027,True
0.75,1.05,24.5,200,64,0.32,0.28816196837461655,0.35361953932850876,True
0.75,1.2,22.5,0,0,,,,False
0.75,1.2,23.0,0,0,,,,False
0.75,1.2,23.5,200,72,0.36,0.32701872439929686,0.3943668661913401,True
0.75,1.2,24.0,200,84,0.42,0.3857739997217082,0.45501775236434866,True
0.75,1.2,24.5,200,71,0.355,0.32214738871168064,0.3892876901632395,True
0.75,1.35,22.5,0,0,,,,False
0.75,1.35,23.0,0,0,,,,False
0.75,1.35,23.5,200,126,0.63,0.5954865945962162,0.6632267904194067,True
0.75,1.35,24.0,200,95,0.475,0.4400952324144627,0.510152188347471,True
0.75,1.35,24.5,200,92,0.46,0.42523777411641833,0.4951580995702859,True
0.75,1.5,22.5,0,0,,,,False
0.75,1.5,23.0,200,110,0.55,0.5148555948646285,0.5846495624833778,True
0.75,1.5,23.5,200,86,0.43,0.3956184460878179,0.4650743356816224,True
0.75,1.5,24.0,200,89,0.445,0.4104120870695329,0.4801322401984794,True
0.75,1.5,24.5,200,87,0.435,0.4005460783415308,0.47009721847494357,True
0.75,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
0.75,1.65,23.0,0,0,,,,False
0.75,1.65,23.5,200,109,0.545,0.5098469784583163,0.5797076634135454,True
0.75,1.65,24.0,200,103,0.515,0.47986930758603663,0.5499822400283494,True
0.75,1.65,24.5,200,97,0.485,0.45001775997165055,0.5201306924139634,True
0.75,1.8,22.5,0,0,,,,False
0.75,1.8,23.0,0,0,,,,False
0.75,1.8,23.5,200,122,0.61,0.5752398488324794,0.6436714840168201,True
0.75,1.8,24.0,200,101,0.505,0.4699048059690321,0.5400457099143254,True
0.75,1.8,24.5,200,75,0.375,0.3416562908740551,0.40958083675363244,True
1.0,0.9,22.5,0,0,,,,False
1.0,0.9,23.0,0,0,,,,False
1.0,0.9,23.5,0,0,,,,False
1.0,0.9,24.0,200,192,0.96,0.9438478215327578,0.971592366058906,True
1.0,0.9,24.5,200,95,0.475,0.4400952324144627,0.510152188347471,True
1.0,1.05,22.5,0,0,,,,False
1.0,1.05,23.0,200,92,0.46,0.42523777411641833,0.4951580995702859,True
1.0,1.05,23.5,0,0,,,,False
1.0,1.05,24.0,200,85,0.425,0.39069441455210463,0.4600478523035554,True
1.0,1.05,24.5,200,82,0.41,0.37594409032162096,0.44494663270303375,True
1.0,1.2,22.5,0,0,,,,False
1.0,1.2,23.0,0,0,,,,False
1.0,1.2,23.5,200,77,0.385,0.35143397317505326,0.41970418055100545,True
1.0,1.2,24.0,200,96,0.48,0.4450547441678005,0.5151431923880494,True
1.0,1.2,24.5,200,85,0.425,0.39069441455210463,0.4600478523035554,True
1.0,1.35,22.5,0,0,,,,False
1.0,1.35,23.0,0,0,,,,False
1.0,1.35,23.5,200,128,0.64,0.6056331338086599,0.6729812756007032,True
1.0,1.35,24.0,200,93,0.465,0.4301867410542339,0.5001596482638864,True
1.0,1.35,24.5,200,99,0.495,0.4599542900856745,0.5300951940309679,True
1.0,1.5,22.5,0,0,,,,False
1.0,1.5,23.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
1.0,1.5,23.5,200,102,0.51,0.4748853079093844,0.5450157238484141,True
1.0,1.5,24.0,200,91,0.455,0.42029233658645454,0.4901530215416837,True
1.0,1.5,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
1.0,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
1.0,1.65,23.0,0,0,,,,False
1.0,1.65,23.5,200,117,0.585,0.5500159813455974,0.6191427811825387,True
1.0,1.65,24.0,200,101,0.505,0.4699048059690321,0.5400457099143254,True
1.0,1.65,24.5,200,106,0.53,0.4948423244311169,0.5648607705559212,True
1.0,1.8,22.5,0,0,,,,False
1.0,1.8,23.0,0,0,,,,False
1.0,1.8,23.5,200,139,0.695,0.6617303781176427,0.7263396375756227,True
1.0,1.8,24.0,200,98,0.49,0.4549842761515859,0.5251146920906156,True
1.0,1.8,24.5,200,76,0.38,0.3465432220356938,0.4146444185110637,True
1.25,0.9,22.5,0,0,,,,False
1.25,0.9,23.0,0,0,,,,False
1.25,0.9,23.5,0,0,,,,False
1.25,0.9,24.0,200,195,0.975,0.961521440047464,0.9837652721255491,True
1.25,0.9,24.5,200,89,0.445,0.4104120870695329,0.4801322401984794,True
1.25,1.05,22.5,0,0,,,,False
1.25,1.05,23.0,200,93,0.465,0.4301867410542339,0.5001596482638864,True
1.25,1.05,23.5,0,0,,,,False
1.25,1.05,24.0,200,99,0.495,0.4599542900856745,0.5300951940309679,True
1.25,1.05,24.5,200,86,0.43,0.3956184460878179,0.4650743356816224,True
1.25,1.2,22.5,0,0,,,,False
1.25,1.2,23.0,0,0,,,,False
1.25,1.2,23.5,200,80,0.4,0.36612887097542435,0.43486082370393114,True
1.25,1.2,24.0,200,97,0.485,0.45001775997165055,0.5201306924139634,True
1.25,1.2,24.5,200,103,0.515,0.47986930758603663,0.5499822400283494,True
1.25,1.35,22.5,0,0,,,,False
1.25,1.35,23.0,0,0,,,,False
1.25,1.35,23.5,200,138,0.69,0.6566093449883118,0.7215101634611434,True
1.25,1.35,24.0,200,95,0.475,0.4400952324144627,0.510152188347471,True
1.25,1.35,24.5,200,107,0.535,0.4998403517361137,0.5698132589457661,True
1.25,1.5,22.5,0,0,,,,False
1.25,1.5,23.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
1.25,1.5,23.5,200,93,0.465,0.4301867410542339,0.5001596482638864,True
1.25,1.5,24.0,200,103,0.515,0.47986930758603663,0.5499822400283494,True
1.25,1.5,24.5,200,91,0.455,0.42029233658645454,0.4901530215416837,True
1.25,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
1.25,1.65,23.0,0,0,,,,False
1.25,1.65,23.5,200,123,0.615,0.5802958194489946,0.6485660268249467,True
1.25,1.65,24.0,200,104,0.52,0.48485680761195066,0.5549452558321994,True
1.25,1.65,24.5,200,106,0.53,0.4948423244311169,0.5648607705559212,True
1.25,1.8,22.5,0,0,,,,False
1.25,1.8,23.0,0,0,,,,False
1.25,1.8,23.5,200,115,0.575,0.5399521476964446,0.6093055854478953,True
1.25,1.8,24.0,200,110,0.55,0.5148555948646285,0.5846495624833778,True
1.25,1.8,24.5,200,74,0.37,0.33677320958059337,0.4045134054037838,True
1.5,0.9,22.5,0,0,,,,False
1.5,0.9,23.0,0,0,,,,False
1.5,0.9,23.5,0,0,,,,False
1.5,0.9,24.0,200,197,0.985,0.9738330326498755,0.991346446005905,True
1.5,0.9,24.5,200,109,0.545,0.5098469784583163,0.5797076634135454,True
1.5,1.05,22.5,0,0,,,,False
1.5,1.05,23.0,200,86,0.43,0.3956184460878179,0.4650743356816224,True
1.5,1.05,23.5,0,0,,,,False
1.5,1.05,24.0,200,102,0.51,0.4748853079093844,0.5450157238484141,True
1.5,1.05,24.5,200,103,0.515,0.47986930758603663,0.5499822400283494,True
1.5,1.2,22.5,0,0,,,,False
1.5,1.2,23.0,0,0,,,,False
1.5,1.2,23.5,200,98,0.49,0.4549842761515859,0.5251146920906156,True
1.5,1.2,24.0,200,112,0.56,0.5248834845476698,0.5945227034662056,True
1.5,1.2,24.5,200,91,0.455,0.42029233658645454,0.4901530215416837,True
1.5,1.35,22.5,0,0,,,,False
1.5,1.35,23.0,0,0,,,,False
1.5,1.35,23.5,200,143,0.715,0.6822598869081562,0.745612151434593,True
1.5,1.35,24.0,200,110,0.55,0.5148555948646285,0.5846495624833778,True
1.5,1.35,24.5,200,100,0.5,0.46492780020054486,0.5350721997994552,True
1.5,1.5,22.5,0,0,,,,False
1.5,1.5,23.0,200,141,0.705,0.6719859265032393,0.7359851018517447,True
1.5,1.5,23.5,200,99,0.495,0.4599542900856745,0.5300951940309679,True
1.5,1.5,24.0,200,111,0.555,0.5198677598015207,0.5895879129304671,True
1.5,1.5,24.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
1.5,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
1.5,1.65,23.0,0,0,,,,False
1.5,1.65,23.5,200,120,0.6,0.5651391762960689,0.6338711290245757,True
1.5,1.65,24.0,200,113,0.565,0.5299027815250564,0.5994539216584692,True
1.5,1.65,24.5,200,101,0.505,0.4699048059690321,0.5400457099143254,True
1.5,1.8,22.5,0,0,,,,False
1.5,1.8,23.0,0,0,,,,False
1.5,1.8,23.5,200,134,0.67,0.6361687845183491,0.7021486895992113,True
1.5,1.8,24.0,200,116,0.58,0.5449822476356514,0.6142260002782918,True
1.5,1.8,24.5,200,75,0.375,0.3416562908740551,0.40958083675363244,True
1.75,0.9,22.5,0,0,,,,False
1.75,0.9,23.0,0,0,,,,False
1.75,0.9,23.5,0,0,,,,False
1.75,0.9,24.0,200,195,0.975,0.961521440047464,0.9837652721255491,True
1.75,0.9,24.5,200,106,0.53,0.4948423244311169,0.5648607705559212,True
1.75,1.05,22.5,0,0,,,,False
1.75,1.05,23.0,200,84,0.42,0.3857739997217082,0.45501775236434866,True
1.75,1.05,23.5,0,0,,,,False
1.75,1.05,24.0,200,124,0.62,0.5853555814889363,0.6534567779643061,True
1.75,1.05,24.5,200,96,0.48,0.4450547441678005,0.5151431923880494,True
1.75,1.2,22.5,0,0,,,,False
1.75,1.2,23.0,0,0,,,,False
1.75,1.2,23.5,200,95,0.475,0.4400952324144627,0.510152188347471,True
1.75,1.2,24.0,200,115,0.575,0.5399521476964446,0.6093055854478953,True
1.75,1.2,24.5,200,94,0.47,0.43513922944407873,0.5051576755688831,True
1.75,1.35,22.5,0,0,,,,False
1.75,1.35,23.0,0,0,,,,False
1.75,1.35,23.5,200,135,0.675,0.641272497844497,0.706995485602401,True
1.75,1.35,24.0,200,107,0.535,0.4998403517361137,0.5698132589457661,True
1.75,1.35,24.5,200,112,0.56,0.5248834845476698,0.5945227034662056,True
1.75,1.5,22.5,0,0,,,,False
1.75,1.5,23.0,200,140,0.7,0.666855884291647,0.7311646380481978,True
1.75,1.5,23.5,200,115,0.575,0.5399521476964446,0.6093055854478953,True
1.75,1.5,24.0,200,109,0.545,0.5098469784583163,0.5797076634135454,True
1.75,1.5,24.5,200,114,0.57,0.5349256643183776,0.6043815539121822,True
1.75,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
1.75,1.65,23.0,0,0,,,,False
1.75,1.65,23.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
1.75,1.65,24.0,200,104,0.52,0.48485680761195066,0.5549452558321994,True
1.75,1.65,24.5,200,107,0.535,0.4998403517361137,0.5698132589457661,True
1.75,1.8,22.5,0,0,,,,False
1.75,1.8,23.0,0,0,,,,False
1.75,1.8,23.5,200,111,0.555,0.5198677598015207,0.5895879129304671,True
1.75,1.8,24.0,200,118,0.59,0.5550533672969662,0.6240559096783791,True
1.75,1.8,24.5,200,79,0.395,0.3612268236817063,0.42981235712467736,True
2.0,0.9,22.5,0,0,,,,False
2.0,0.9,23.0,0,0,,,,False
2.0,0.9,23.5,0,0,,,,False
2.0,0.9,24.0,200,194,0.97,0.9555509191795196,0.9797874790741992,True
2.0,0.9,24.5,200,111,0.555,0.5198677598015207,0.5895879129304671,True
2.0,1.05,22.5,0,0,,,,False
2.0,1.05,23.0,200,76,0.38,0.3465432220356938,0.4146444185110637,True
2.0,1.05,23.5,0,0,,,,False
2.0,1.05,24.0,200,105,0.525,0.489847811652529,0.5599047675855373,True
2.0,1.05,24.5,200,114,0.57,0.5349256643183776,0.6043815539121822,True
2.0,1.2,22.5,0,0,,,,False
2.0,1.2,23.0,0,0,,,,False
2.0,1.2,23.5,200,114,0.57,0.5349256643183776,0.6043815539121822,True
2.0,1.2,24.0,200,110,0.55,0.5148555948646285,0.5846495624833778,True
2.0,1.2,24.5,200,108,0.54,0.5048419004297141,0.5747622258835816,True
2.0,1.35,22.5,0,0,,,,False
2.0,1.35,23.0,0,0,,,,False
2.0,1.35,23.5,200,147,0.735,0.7028653833524006,0.7648086656092921,True
2.0,1.35,24.0,200,110,0.55,0.5148555948646285,0.5846495624833778,True
2.0,1.35,24.5,200,109,0.545,0.5098469784583163,0.5797076634135454,True
2.0,1.5,22.5,0,0,,,,False
2.0,1.5,23.0,200,151,0.755,0.7235521857898317,0.7839238585680877,True
2.0,1.5,23.5,200,98,0.49,0.4549842761515859,0.5251146920906156,True
2.0,1.5,24.0,200,110,0.55,0.5148555948646285,0.5846495624833778,True
2.0,1.5,24.5,200,132,0.66,0.6259739109417266,0.692442543179469,True
2.0,1.65,22.5,200,1,0.005,0.0020991493508190485,0.012849306899419346,True
2.0,1.65,23.0,0,0,,,,False
2.0,1.65,23.5,200,132,0.66,0.6259739109417266,0.692442543179469,True
2.0,1.65,24.0,200,113,0.565,0.5299027815250564,0.5994539216584692,True
2.0,1.65,24.5,200,96,0.48,0.4450547441678005,0.5151431923880494,True
2.0,1.8,22.5,0,0,,,,False
2.0,1.8,23.0,0,0,,,,False
2.0,1.8,23.5,200,129,0.645,0.6107123098367605,0.6778526112883194,True
2.0,1.8,24.0,200,117,0.585,0.5500159813455974,0.6191427811825387,True
2.0,1.8,24.5,200,92,0.46,0.42523777411641833,0.4951580995702859,True
2.25,0.9,22.5,0,0,,,,False
2.25,0.9,23.0,0,0,,,,False
2.25,0.9,23.5,0,0,,,,False
2.25,0.9,24.0,200,192,0.96,0.9438478215327578,0.971592366058906,True
2.25,0.9,24.5,200,114,0.57,0.5349256643183776,0.6043815539121822,True
2.25,1.05,22.5,0,0,,,,False
2.25,1.05,23.0,200,62,0.31,0.27848983653885667,0.3433906550116882,True
2.25,1.05,23.5,0,0,,,,False
2.25,1.05,24.0,200,118,0.59,0.5550533672969662,0.6240559096783791,True
2.25,1.05,24.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
2.25,1.2,22.5,0,0,,,,False
2.25,1.2,23.0,0,0,,,,False
2.25,1.2,23.5,200,97,0.485,0.45001775997165055,0.5201306924139634,True
2.25,1.2,24.0,200,115,0.575,0.5399521476964446,0.6093055854478953,True
2.25,1.2,24.5,200,109,0.545,0.5098469784583163,0.5797076634135454,True
2.25,1.35,22.5,0,0,,,,False
2.25,1.35,23.0,0,0,,,,False
2.25,1.35,23.5,200,147,0.735,0.7028653833524006,0.7648086656092921,True
2.25,1.35,24.0,200,109,0.545,0.5098469784583163,0.5797076634135454,True
2.25,1.35,24.5,200,94,0.47,0.43513922944407873,0.5051576755688831,True
2.25,1.5,22.5,0,0,,,,False
2.25,1.5,23.0,200,161,0.805,0.7756718211332095,0.8313091127389911,True
2.25,1.5,23.5,200,94,0.47,0.43513922944407873,0.5051576755688831,True
2.25,1.5,24.0,200,119,0.595,0.5600944252517688,0.6289653659918599,True
2.25,1.5,24.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
2.25,1.65,22.5,200,5,0.025,0.01623472787445088,0.03847855995253601,True
2.25,1.65,23.0,0,0,,,,False
2.25,1.65,23.5,200,131,0.655,0.620882658734995,0.687583284766051,True
2.25,1.65,24.0,200,113,0.565,0.5299027815250564,0.5994539216584692,True
2.25,1.65,24.5,200,111,0.555,0.5198677598015207,0.5895879129304671,True
2.25,1.8,22.5,0,0,,,,False
2.25,1.8,23.0,0,0,,,,False
2.25,1.8,23.5,200,123,0.615,0.5802958194489946,0.6485660268249467,True
2.25,1.8,24.0,200,108,0.54,0.5048419004297141,0.5747622258835816,True
2.25,1.8,24.5,200,89,0.445,0.4104120870695329,0.4801322401984794,True
2.5,0.9,22.5,0,0,,,,False
2.5,0.9,23.0,0,0,,,,False
2.5,0.9,23.5,0,0,,,,False
2.5,0.9,24.0,200,198,0.99,0.9802909006677577,0.9948300141222582,True
2.5,0.9,24.5,200,129,0.645,0.6107123098367605,0.6778526112883194,True
2.5,1.05,22.5,0,0,,,,False
2.5,1.05,23.0,200,70,0.35,0.31728003942288996,0.38420452808161976,True
2.5,1.05,23.5,0,0,,,,False
2.5,1.05,24.0,200,116,0.58,0.5449822476356514,0.6142260002782918,True
2.5,1.05,24.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
2.5,1.2,22.5,0,0,,,,False
2.5,1.2,23.0,0,0,,,,False
2.5,1.2,23.5,200,112,0.56,0.5248834845476698,0.5945227034662056,True
2.5,1.2,24.0,200,121,0.605,0.5701876428753226,0.6387731763182938,True
2.5,1.2,24.5,200,124,0.62,0.5853555814889363,0.6534567779643061,True
2.5,1.35,22.5,0,0,,,,False
2.5,1.35,23.0,0,0,,,,False
2.5,1.35,23.5,200,146,0.73,0.6977066130719263,0.7600169345218408,True
2.5,1.35,24.0,200,122,0.61,0.5752398488324794,0.6436714840168201,True
2.5,1.35,24.5,200,111,0.555,0.5198677598015207,0.5895879129304671,True
2.5,1.5,22.5,0,0,,,,False
2.5,1.5,23.0,200,158,0.79,0.759970271622574,0.8171592142467263,True
2.5,1.5,23.5,200,100,0.5,0.46492780020054486,0.5350721997994552,True
2.5,1.5,24.0,200,124,0.62,0.5853555814889363,0.6534567779643061,True
2.5,1.5,24.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
2.5,1.65,22.5,200,4,0.02,0.012367815958576884,0.03239815929127137,True
2.5,1.65,23.0,0,0,,,,False
2.5,1.65,23.5,200,131,0.655,0.620882658734995,0.687583284766051,True
2.5,1.65,24.0,200,109,0.545,0.5098469784583163,0.5797076634135454,True
2.5,1.65,24.5,200,100,0.5,0.46492780020054486,0.5350721997994552,True
2.5,1.8,22.5,0,0,,,,False
2.5,1.8,23.0,0,0,,,,False
2.5,1.8,23.5,200,124,0.62,0.5853555814889363,0.6534567779643061,True
2.5,1.8,24.0,200,106,0.53,0.4948423244311169,0.5648607705559212,True
2.5,1.8,24.5,200,72,0.36,0.32701872439929686,0.3943668661913401,True
2.75,0.9,22.5,0,0,,,,False
2.75,0.9,23.0,0,0,,,,False
2.75,0.9,23.5,0,0,,,,False
2.75,0.9,24.0,200,193,0.965,0.9496652549876151,0.9757242307286774,True
2.75,0.9,24.5,200,139,0.695,0.6617303781176427,0.7263396375756227,True
2.75,1.05,22.5,0,0,,,,False
2.75,1.05,23.0,200,77,0.385,0.35143397317505326,0.41970418055100545,True
2.75,1.05,23.5,0,0,,,,False
2.75,1.05,24.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
2.75,1.05,24.5,200,132,0.66,0.6259739109417266,0.692442543179469,True
2.75,1.2,22.5,0,0,,,,False
2.75,1.2,23.0,0,0,,,,False
2.75,1.2,23.5,200,113,0.565,0.5299027815250564,0.5994539216584692,True
2.75,1.2,24.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
2.75,1.2,24.5,200,120,0.6,0.5651391762960689,0.6338711290245757,True
2.75,1.35,22.5,0,0,,,,False
2.75,1.35,23.0,0,0,,,,False
2.75,1.35,23.5,200,159,0.795,0.7651974367654256,0.8218825339240814,True
2.75,1.35,24.0,200,114,0.57,0.5349256643183776,0.6043815539121822,True
2.75,1.35,24.5,200,102,0.51,0.4748853079093844,0.5450157238484141,True
2.75,1.5,22.5,0,0,,,,False
2.75,1.5,23.0,200,162,0.81,0.7809194216135982,0.8360119902767872,True
2.75,1.5,23.5,200,103,0.515,0.47986930758603663,0.5499822400283494,True
2.75,1.5,24.0,200,117,0.585,0.5500159813455974,0.6191427811825387,True
2.75,1.5,24.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
2.75,1.65,22.5,200,8,0.04,0.028407633941094055,0.05615217846724215,True
2.75,1.65,23.0,0,0,,,,False
2.75,1.65,23.5,200,120,0.6,0.5651391762960689,0.6338711290245757,True
2.75,1.65,24.0,200,112,0.56,0.5248834845476698,0.5945227034662056,True
2.75,1.65,24.5,200,96,0.48,0.4450547441678005,0.5151431923880494,True
2.75,1.8,22.5,0,0,,,,False
2.75,1.8,23.0,0,0,,,,False
2.75,1.8,23.5,200,106,0.53,0.4948423244311169,0.5648607705559212,True
2.75,1.8,24.0,200,100,0.5,0.46492780020054486,0.5350721997994552,True
2.75,1.8,24.5,200,72,0.36,0.32701872439929686,0.3943668661913401,True
3.0,0.9,22.5,0,0,,,,False
3.0,0.9,23.0,0,0,,,,False
3.0,0.9,23.5,0,0,,,,False
3.0,0.9,24.0,200,192,0.96,0.9438478215327578,0.971592366058906,True
3.0,0.9,24.5,200,139,0.695,0.6617303781176427,0.7263396375756227,True
3.0,1.05,22.5,0,0,,,,False
3.0,1.05,23.0,200,65,0.325,0.293004514397599,0.35872750215550303,True
3.0,1.05,23.5,0,0,,,,False
3.0,1.05,24.0,200,135,0.675,0.641272497844497,0.706995485602401,True
3.0,1.05,24.5,200,121,0.605,0.5701876428753226,0.6387731763182938,True
3.0,1.2,22.5,0,0,,,,False
3.0,1.2,23.0,0,0,,,,False
3.0,1.2,23.5,200,117,0.585,0.5500159813455974,0.6191427811825387,True
3.0,1.2,24.0,200,138,0.69,0.6566093449883118,0.7215101634611434,True
3.0,1.2,24.5,200,115,0.575,0.5399521476964446,0.6093055854478953,True
3.0,1.35,22.5,0,0,,,,False
3.0,1.35,23.0,0,0,,,,False
3.0,1.35,23.5,200,146,0.73,0.6977066130719263,0.7600169345218408,True
3.0,1.35,24.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
3.0,1.35,24.5,200,115,0.575,0.5399521476964446,0.6093055854478953,True
3.0,1.5,22.5,0,0,,,,False
3.0,1.5,23.0,200,149,0.745,0.7131982449997549,0.774376803800226,True
3.0,1.5,23.5,200,103,0.515,0.47986930758603663,0.5499822400283494,True
3.0,1.5,24.0,200,114,0.57,0.5349256643183776,0.6043815539121822,True
3.0,1.5,24.5,200,119,0.595,0.5600944252517688,0.6289653659918599,True
3.0,1.65,22.5,200,19,0.095,0.0763724850642574,0.11763799745952956,True
3.0,1.65,23.0,0,0,,,,False
3.0,1.65,23.5,200,121,0.605,0.5701876428753226,0.6387731763182938,True
3.0,1.65,24.0,200,106,0.53,0.4948423244311169,0.5648607705559212,True
3.0,1.65,24.5,200,89,0.445,0.4104120870695329,0.4801322401984794,True
3.0,1.8,22.5,0,0,,,,False
3.0,1.8,23.0,0,0,,,,False
3.0,1.8,23.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
3.0,1.8,24.0,200,115,0.575,0.5399521476964446,0.6093055854478953,True
3.0,1.8,24.5,200,76,0.38,0.3465432220356938,0.4146444185110637,True
